iterations,test-Accuracy-mean,test-Accuracy-std,train-Accuracy-mean,train-Accuracy-std,test-MultiClass-mean,test-MultiClass-std,train-MultiClass-mean,train-MultiClass-std
18,0.3911625942419626,0.03946057122855145,0.6218707214251011,0.005869559512176026,1.0563259235380091,0.0029353392420271946,1.025477919534755,0.0028283955974578593
19,0.4024206511973124,0.029955431633382483,0.6253087089446019,0.01084093982407712,1.054742882097661,0.003061635891539107,1.0223525161887523,0.0029262250077714373
20,0.3999283175124028,0.03184821233558895,0.6324962242034282,0.005192901743049654,1.0533136127184306,0.003500448134442308,1.019379166635253,0.00296897754094382
21,0.4024281221922731,0.020627438348568176,0.6328111633268148,0.003964836562327986,1.0516052219204723,0.0032742876339956796,1.0162291214103618,0.0030459500497340168
22,0.4061859838274932,0.01852030980093478,0.6384386116054971,0.008241749596996762,1.0505365412927699,0.003363161351857113,1.013235442521577,0.00280821631141454
23,0.40495956873315364,0.014015213729712574,0.6390641037026457,0.007550857887316995,1.0492316331443678,0.0036907213866076197,1.010632952627136,0.0028464638113274224
24,0.3974596663932185,0.024268123418795553,0.6437516067544109,0.004779336323049604,1.047868072069662,0.003875786059455585,1.0080177720793055,0.0028469239642507395
25,0.39495956873315363,0.019766839257159073,0.6428165489295629,0.006207611266135425,1.0468559292876818,0.004073253237617742,1.005410899750135,0.0027390141193327795
26,0.41120976405328336,0.01820053398895023,0.6424976989689917,0.00724046877064436,1.045866459164716,0.004208290557493542,1.002438150318498,0.00291636194589675
27,0.41115502558693695,0.029304500052841,0.6415616615274939,0.0065445677820456976,1.0450965324759738,0.004517890047901828,0.9999174467470807,0.0031139800806368662
28,0.40492841517246775,0.023907370880270864,0.6415611694303452,0.005236996588533696,1.0442422909918636,0.004948712099364296,0.9974372052015266,0.0029259061583392374
29,0.40368617914762295,0.022937076728746814,0.6443717208782248,0.0074024966442167795,1.0432701973176581,0.005028709194260572,0.995130745661697,0.0029182893907712935
30,0.40367055353724757,0.026546957276880136,0.6481217193523421,0.012388953168598974,1.042927267256839,0.005540835658649489,0.9926201485804069,0.0032115633706208783
31,0.39867045587718275,0.025371811294151746,0.6493741615274939,0.011109192145242783,1.0425621844673625,0.0056546936287385505,0.990070553710925,0.003462478440222628
32,0.4036626919020275,0.02604291162013045,0.6496876396182607,0.007002416491899034,1.0417029950538441,0.005641559274530396,0.9877125518660954,0.003156381189395719
33,0.4086860814875581,0.021231517230346313,0.6559396034292077,0.0032739113091538644,1.0406414731903488,0.005919672604873489,0.9853276349182858,0.0029431092650033745
34,0.403678219852338,0.024875358342707304,0.6559381347671748,0.0056135717145023205,1.039628289324062,0.0059778862215450835,0.9830227452546776,0.003206147587909458
35,0.3999046349466776,0.030310909764783758,0.6587477065984049,0.007586492848763052,1.0389030570579363,0.006179045702530746,0.9807012327098683,0.0034787042621230073
36,0.392420260557053,0.031607293623824355,0.6593722221306693,0.004924185016968891,1.0383024810577972,0.006379473374290002,0.9784756712880585,0.0036308945407861368
37,0.3886546349466776,0.03196150588824267,0.6568761238125582,0.006597773571600114,1.0376513456125243,0.006811640504826016,0.9766338821612022,0.0038111094852710677
38,0.3874123989218329,0.033471988789002524,0.658123192592023,0.008880746111078475,1.0371275813244505,0.0068773200555368305,0.9741721505542106,0.004065409684054041
39,0.389920260557053,0.03196811127833845,0.6606246597281731,0.009011692498822303,1.0366143547256332,0.006876781576519228,0.9721006052604164,0.0041079788597508824
40,0.3974359838274932,0.024641966669667736,0.6615616722086723,0.008844644001534637,1.0359689902948148,0.006919204627537812,0.9701949503531427,0.004258933117486092
41,0.39492812219227313,0.02359991533732912,0.6650011314419713,0.008244131396925284,1.035580702728684,0.006993667050301102,0.9681765303341321,0.004549291497999436
42,0.3886624965818977,0.031136412402887056,0.6634386314419713,0.006506562576350852,1.0351789229890827,0.007131122034097245,0.966427811340248,0.0043788285907463975
43,0.39115463494667757,0.03172552427033217,0.665625159454735,0.005926788812363074,1.0350297262286694,0.007120082329422836,0.9646033024678969,0.004634576551119936
44,0.3886703582171179,0.029641158718155057,0.6634400924745909,0.009348984301058957,1.0348008419578967,0.007307944749099572,0.9623574706484238,0.0045009985853408895
45,0.3911781221922731,0.03146229329660606,0.6640646064809729,0.008368677652513541,1.0341880961908956,0.007190817103099371,0.9602619843651151,0.00421037736562274
46,0.3936624965818977,0.03571074726253902,0.662817047130242,0.009245174539356978,1.0340495186644592,0.007231593873241,0.95845234266238,0.004079292503147237
47,0.38615463494667757,0.03255770764444121,0.6628170440784767,0.010935354431627738,1.0336907992650493,0.007383484902780396,0.956609341302039,0.004299175258680605
48,0.3911703582171179,0.03004219617967157,0.6637535659877098,0.012185746382130647,1.0335769046510275,0.00754880068605955,0.9544975049343642,0.004308246584281444
49,0.38864696863158715,0.03714708012464016,0.6668780830458569,0.010884624163599579,1.0331655347374156,0.007751086588298492,0.9527167035307309,0.004273109615381339
50,0.3911469686315872,0.034765996430981466,0.6662511299160887,0.009610797468109562,1.0326836335465397,0.007539123389824873,0.9506165356543915,0.004391789491394761
51,0.39617831751240284,0.028810464342865726,0.6703160751430057,0.010025230969455066,1.0325482145738896,0.007748085650221163,0.9482875234735546,0.004659844506663534
52,0.39242045587718266,0.028605369800564114,0.6750011375455018,0.010428046373013084,1.0321288374248385,0.007831101943704961,0.9461629096556342,0.004944981400950081
